ID_OP;ID_Operador;ID_Ocorrencia;ID_Recurso;DataHoraInicial;DataHoraFinal;QtdeProduzida;QtdeRefugada
39633;1475;51;;21/01/2020 07:45:56;21/01/2020 08:21:08;0;0
39633;1467;61;;21/01/2020 08:20:56;21/01/2020 08:26:19;0;0
39633;1475;;PF-04;21/01/2020 08:25:56;21/01/2020 10:31:33;306;0
39780;1338;51;SA;21/01/2020 13:00:00;21/01/2020 13:05:45;0;0
39780;477;61;SA;21/01/2020 13:05:00;21/01/2020 13:10:19;0;0
39780;1338;;SA;21/01/2020 13:10:00;21/01/2020 14:00:54;510;0
39352;477;61;PF-09;22/01/2020 09:15:51;22/01/2020 09:21:23;0;0
39352;1476;;;22/01/2020 09:20:51;22/01/2020 09:36:37;40;0
39352;1476;99;PF-09;22/01/2020 09:35:51;22/01/2020 09:51:42;0;0
39352;1476;;PF-09;22/01/2020 09:50:51;22/01/2020 11:06:39;164;0
38766;1338;51;;22/01/2020 15:00:51;23/01/2020 05:51:10;0;0
38766;477;61;SA;22/01/2020 15:05:51;23/01/2020 01:56:23;0;0
38766;1338;;;22/01/2020 15:10:51;22/01/2020 16:01:29;612;0
39571;9;;;22/01/2020 09:40:56;22/01/2020 10:01:51;510;0
39077;1338;51;SA;22/01/2020 07:00:56;22/01/2020 07:06:17;0;0
39077;477;61;SA;22/01/2020 07:05:56;22/01/2020 07:11:32;0;0
39077;1338;;SA;22/01/2020 07:10:56;22/01/2020 11:01:47;3060;0
38121;1432;51;PF-11;22/01/2020 09:20:22;22/01/2020 09:55:46;0;0
38121;477;61;PF-11;22/01/2020 09:55:22;22/01/2020 10:20:51;0;0
38121;1432;11;PF-11;22/01/2020 13:00:22;22/01/2020 13:56:15;0;0
38121;1432;;PF-11;22/01/2020 10:20:22;22/01/2020 12:01:13;150;0
38121;1432;;PF-11;22/01/2020 13:55:22;22/01/2020 14:10:32;30;0
39588;1475;51;PF-04;22/01/2020 09:00:56;22/01/2020 10:11:24;0;0
39588;1467;61;PF-04;22/01/2020 10:10:56;22/01/2020 10:16:21;0;0
39588;1475;;PF-04;22/01/2020 10:15:56;22/01/2020 10:51:07;102;0
39586;9;;;22/01/2020 15:42:56;22/01/2020 16:01:28;102;0
39804;1338;51;SA;23/01/2020 14:30:58;23/01/2020 14:36:36;0;0
39804;477;61;SA;23/01/2020 14:35:58;23/01/2020 14:38:18;0;0
39804;1338;;SA;23/01/2020 14:37:58;23/01/2020 15:00:16;102;0
39823;1338;51;SA;23/01/2020 14:00:00;23/01/2020 14:06:14;0;0
39823;477;61;SA;23/01/2020 14:05:58;23/01/2020 14:08:18;0;0
39696;1338;51;SA;23/01/2020 13:00:00;23/01/2020 13:02:18;0;0
39696;477;61;SA;23/01/2020 13:02:05;23/01/2020 13:04:35;0;0
39696;1338;;SA;23/01/2020 13:04:05;23/01/2020 14:25:15;1530;0
39757;1338;51;SA;23/01/2020 14:00:00;23/01/2020 14:06:27;0;0
39823;1338;;SA-02;23/01/2020 14:07:00;23/01/2020 14:30:24;116;0
39757;477;61;SA;23/01/2020 14:05:00;23/01/2020 14:08:45;0;0
39757;1338;;SA;23/01/2020 14:07:00;23/01/2020 14:35:12;306;0
39680;1481;51;PF-01;23/01/2020 09:05:02;23/01/2020 09:20:12;0;0
39680;1481;22;PF-01;23/01/2020 09:20:02;23/01/2020 11:20:22;0;0
39680;477;61;PF-01;23/01/2020 11:20:02;23/01/2020 11:25:46;0;0
39680;1481;9;PF-01;23/01/2020 11:25:02;23/01/2020 12:00:40;151;0
39680;1481;9;PF-01;23/01/2020 13:00:02;23/01/2020 14:30:21;362;2
39695;1467;61;PF-01;23/01/2020 14:30:02;23/01/2020 14:35:46;0;0
39695;1481;9;PF-01;23/01/2020 14:35:02;23/01/2020 17:00:13;650;8
39716;1338;51;SA;23/01/2020 07:30:51;23/01/2020 07:36:25;0;0
39716;477;61;SA;23/01/2020 07:35:51;23/01/2020 07:41:29;0;0
39716;1338;;SA;23/01/2020 07:40:51;23/01/2020 08:01:30;102;0
39706;1338;51;SA;23/01/2020 07:20:51;23/01/2020 07:26:40;0;0
39706;477;61;SA;23/01/2020 07:25:51;23/01/2020 07:31:13;0;0
39706;1338;;SA;23/01/2020 07:30:51;23/01/2020 07:41:25;34;0
39691;1338;51;SA;23/01/2020 07:00:51;23/01/2020 07:06:37;0;0
39691;477;61;SA;23/01/2020 07:05:51;23/01/2020 07:11:15;0;0
39973;1338;51;SA;23/01/2020 07:00:51;23/01/2020 07:06:15;0;0
39691;1338;;SA;23/01/2020 07:10:51;23/01/2020 07:21:13;68;0
39973;477;61;SA;23/01/2020 07:05:51;23/01/2020 07:11:38;0;0
39973;1338;;SA;23/01/2020 07:10:51;23/01/2020 10:41:05;3366;0
39681;1338;51;SA;23/01/2020 10:00:51;23/01/2020 10:06:12;0;0
39681;1338;;SA;23/01/2020 10:10:51;23/01/2020 10:36:31;510;0
39681;477;;SA;23/01/2020 10:05:51;23/01/2020 10:11:40;0;0
39727;1338;51;SA;23/01/2020 10:00:51;23/01/2020 10:06:44;0;0
39727;477;61;SA;23/01/2020 10:05:51;23/01/2020 10:11:25;0;0
39701;1338;51;SA;23/01/2020 08:00:51;23/01/2020 08:06:30;0;0
39727;1338;;SA;23/01/2020 10:10:51;23/01/2020 11:01:45;351;0
39701;477;61;SA;23/01/2020 08:05:51;23/01/2020 08:10:50;0;0
39701;1338;;SA;23/01/2020 08:10:51;23/01/2020 08:26:07;204;0
39972;1358;51;PF-03;23/01/2020 15:30:22;23/01/2020 16:21:08;0;0
39972;477;61;PF-03;23/01/2020 16:20:22;23/01/2020 16:26:00;0;0
39972;1358;;PF-03;23/01/2020 16:25:22;23/01/2020 17:00:40;117;0
39756;1358;51;PF-03;23/01/2020 13:00:02;23/01/2020 13:40:24;0;0
39756;1467;61;PF-03;23/01/2020 13:40:02;23/01/2020 13:45:18;0;0
39756;1358;;;23/01/2020 13:40:02;23/01/2020 13:45:57;306;1
39722;1338;51;SA;24/01/2020 07:00:00;24/01/2020 07:05:54;0;0
39722;477;61;SA;24/01/2020 07:05:00;24/01/2020 07:07:29;0;0
39722;1338;;SA;24/01/2020 07:07:00;24/01/2020 08:00:43;351;0
39695;1481;9;PF-01;24/01/2020 07:00:02;24/01/2020 10:10:40;880;5
